Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.09     0.00    12288     0.00     0.00  inode_manager::free_inode(unsigned int)
  0.00      0.09     0.00    12288     0.00     1.22  inode_manager::write_file(unsigned int, char const*, int)
  0.00      0.09     0.00    12288     0.00     1.22  inode_manager::remove_file(unsigned int)
  0.00      0.09     0.00    12288     0.00     0.00  inode_manager::read_file(unsigned int, char**, int*)
  0.00      0.09     0.00    12288     0.00     0.24  std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::erase(std::string const&)
  0.00      0.09     0.00    12288     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> >, std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> > >::pair(std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> > const&, std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> > const&)
  0.00      0.09     0.00    12288     0.00     0.14  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::equal_range(std::string const&)
  0.00      0.09     0.00    12288     0.00     0.11  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_erase_aux(std::_Rb_tree_const_iterator<std::pair<std::string const, unsigned long long> >, std::_Rb_tree_const_iterator<std::pair<std::string const, unsigned long long> >)
  0.00      0.09     0.00    12288     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_upper_bound(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*, std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*, std::string const&)
  0.00      0.09     0.00    12288     0.00     0.24  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::erase(std::string const&)
